#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2016-01-01 to 2022-03-23
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 622: Mesa Lakes, CO
#	SNOTEL 682: Park Reservoir, CO
# 
# Data items provided in this file:
#
# Element Name  Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description       
# Snow Depth    Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           SNWD          Total snow depth  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2016-01-01 to 2022-03-23
#
# As of: Mar 23, 2022 2:07:35 PM GMT-08:00
#
Date,Station Name,Station Id,Latitude,Longitude,Elevation (ft),Snow Depth (cm) Start of Day Values
2016-01-01,Mesa Lakes,622,39.05831,-108.05835,10000,94
2016-01-02,Mesa Lakes,622,39.05831,-108.05835,10000,91
2016-01-03,Mesa Lakes,622,39.05831,-108.05835,10000,91
2016-01-04,Mesa Lakes,622,39.05831,-108.05835,10000,89
2016-01-05,Mesa Lakes,622,39.05831,-108.05835,10000,86
2016-01-06,Mesa Lakes,622,39.05831,-108.05835,10000,79
2016-01-07,Mesa Lakes,622,39.05831,-108.05835,10000,89
2016-01-08,Mesa Lakes,622,39.05831,-108.05835,10000,89
2016-01-09,Mesa Lakes,622,39.05831,-108.05835,10000,89
2016-01-10,Mesa Lakes,622,39.05831,-108.05835,10000,86
2016-01-11,Mesa Lakes,622,39.05831,-108.05835,10000,84
2016-01-12,Mesa Lakes,622,39.05831,-108.05835,10000,86
2016-01-13,Mesa Lakes,622,39.05831,-108.05835,10000,86
2016-01-14,Mesa Lakes,622,39.05831,-108.05835,10000,86
2016-01-15,Mesa Lakes,622,39.05831,-108.05835,10000,84
2016-01-16,Mesa Lakes,622,39.05831,-108.05835,10000,84
2016-01-17,Mesa Lakes,622,39.05831,-108.05835,10000,86
2016-01-18,Mesa Lakes,622,39.05831,-108.05835,10000,91
2016-01-19,Mesa Lakes,622,39.05831,-108.05835,10000,99
2016-01-20,Mesa Lakes,622,39.05831,-108.05835,10000,102
2016-01-21,Mesa Lakes,622,39.05831,-108.05835,10000,109
2016-01-22,Mesa Lakes,622,39.05831,-108.05835,10000,102
2016-01-23,Mesa Lakes,622,39.05831,-108.05835,10000,102
2016-01-24,Mesa Lakes,622,39.05831,-108.05835,10000,99
2016-01-25,Mesa Lakes,622,39.05831,-108.05835,10000,132
2016-01-26,Mesa Lakes,622,39.05831,-108.05835,10000,127
2016-01-27,Mesa Lakes,622,39.05831,-108.05835,10000,127
2016-01-28,Mesa Lakes,622,39.05831,-108.05835,10000,117
2016-01-29,Mesa Lakes,622,39.05831,-108.05835,10000,114
2016-01-30,Mesa Lakes,622,39.05831,-108.05835,10000,117
2016-01-31,Mesa Lakes,622,39.05831,-108.05835,10000,119
2016-02-01,Mesa Lakes,622,39.05831,-108.05835,10000,140
2016-02-02,Mesa Lakes,622,39.05831,-108.05835,10000,147
2016-02-03,Mesa Lakes,622,39.05831,-108.05835,10000,145
2016-02-04,Mesa Lakes,622,39.05831,-108.05835,10000,140
2016-02-05,Mesa Lakes,622,39.05831,-108.05835,10000,137
2016-02-06,Mesa Lakes,622,39.05831,-108.05835,10000,142
2016-02-07,Mesa Lakes,622,39.05831,-108.05835,10000,135
2016-02-08,Mesa Lakes,622,39.05831,-108.05835,10000,132
2016-02-09,Mesa Lakes,622,39.05831,-108.05835,10000,132
2016-02-10,Mesa Lakes,622,39.05831,-108.05835,10000,127
2016-02-11,Mesa Lakes,622,39.05831,-108.05835,10000,127
2016-02-12,Mesa Lakes,622,39.05831,-108.05835,10000,124
2016-02-13,Mesa Lakes,622,39.05831,-108.05835,10000,122
2016-02-14,Mesa Lakes,622,39.05831,-108.05835,10000,119
2016-02-15,Mesa Lakes,622,39.05831,-108.05835,10000,112
2016-02-16,Mesa Lakes,622,39.05831,-108.05835,10000,114
2016-02-17,Mesa Lakes,622,39.05831,-108.05835,10000,117
2016-02-18,Mesa Lakes,622,39.05831,-108.05835,10000,114
